㈜포커스블루,신입,초대졸이상 (졸업예정자 가능),"성실성, 적응성, 협동심, 꼼꼼함",
에스씨301의원,경력 (2년이상),초대졸이상,,"Python, Pytorch, Tensorflow, Linux, Ai, 머신러닝, ChatGPT, 챗봇, 솔루션 개발, 프레임워크"
㈜단솔플러스,경력,초대졸이상,"계획성, 성실성, 꼼꼼함, 스트레스관리, 적응성, 창의성","C#, Javascript, VB"
㈜에이아이노미스,경력 (3년이상),학력무관,,
㈜헤카톤에이아이,경력 (2년이상),대졸이상,"성취지향성, 꼼꼼함, 메타인지, 성실성, 적응성","Hadoop, JAVA, Pandas, Python, Pytorch, Spark, SQL, Tensorflow, DL, Matplotlib"
에너자이,경력,학력무관,,"C, C++, Pytorch, Scala, Tensorflow, F#, haskell, Optimizing ML, vision algorithm on DSP, vision algorithm on NPU"
㈜펨트론,신입,초대졸이상 (졸업예정자 가능),,
㈜덴컴,경력,대졸이상,"성실성, 꼼꼼함, 성장지향성, 계획성, 적응성, 협동심","C, C++, Python"
㈜길온,신입,대학원(석사)이상 (졸업예정자 가능),"성실성, 협동심, 성장지향성, 적응성","Android, C, C++, Python"
㈜화이트스캔,경력 (3년이상),대졸이상,,Python
㈜티디지,경력 (2년이상),초대졸이상,,"Azure, React, VDI, Teams, Powershell, Exchange, microsoft 365, openAI, POWER PLATFORM, Microsoft Defender"
섬재㈜,경력,학력무관,,
딥브레인 AI,경력,대학원(석사)이상,,"OpenCV, FFmpeg"
㈜스카이오토넷,신입,대학원(석사)이상,,"C, Python, Linux"
에스씨301의원,경력,초대졸이상,,
㈜마인드에이아이,신입,대졸이상,,
㈜마인드에이아이,경력 (3년이상),대학원(석사)이상,,
㈜마인드에이아이,경력 (4년이상),대졸이상,,
㈜마인드에이아이,경력 (3년이상),대졸이상,,
㈜마인드에이아이,경력 (3년이상),대학원(석사)이상 (졸업예정자 가능),,
㈜다민로봇,경력 (3년이상),대졸이상,"성실성, 꼼꼼함, 협동심, 성장지향성, 계획성",
에스디티 주식회사,경력 (3년이상),초대졸이상,,
휴먼교육센터,경력 (3년이상),대졸이상,,
㈜네피리티,신입,학력무관,,Python
㈜루아컨설팅,신입,학력무관,"성실성, 적응성, 성장지향성, 꼼꼼함","Git, Javascript"
㈜에스아이시티,신입,초대졸이상,,"C#, HTML, JAVA, Python, VB"
㈜에스아이시티,경력 (5년이상),초대졸이상,,"C#, HTML, JAVA, Python, VB"
㈜슈파스,경력 (3년이상),대학원(석사)이상 (졸업예정자 가능),,"Pytorch, Tensorflow"
㈜더존비즈온,경력,학력무관,,"Hadoop, Spark, SQL, Linux"
더조은컴퓨터학원,경력,학력무관,,"Kafka, Keras, Python, Pytorch, Scipy, SQL, Tensorflow"
충북대학교병원,경력,학력무관,,"Python, 파이썬"
서울대학교병원,경력,대졸이상,,"Python, Pytorch, R, Tensorflow, Bash, 데이터분석, Coding, 딥러닝, biomedical background, 영상데이터"
㈜알에스엔,신입,대졸이상,,"Git, Python, Pytorch, NLU, NLP"
㈜알에스엔,신입,학력무관,,
